genx_segments_no,planes,,,,,,,,,,,,,,,,
20,70,10,,,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,,,,
26,20,,,,,,,,,,,,,,,,
29,20,10,1,,,,,,,,,,,,,,
30,30,20,1,,,,,,,,,,,,,,
31,10,,,,,,,,,,,,,,,,
33,20,,,,,,,,,,,,,,,,
34,NaN,,,,,,,,,,,,,,,,
35,1021.693406,,,,,,,,,,,,,,,,
37,1,2,,,,,,,,,,,,,,,
38,70,50,30,10,,,,,,,,,,,,,
40,1021.693406,,,,,,,,,,,,,,,,
43,20,1,,,,,,,,,,,,,,,
52,3077.244909,,,,,,,,,,,,,,,,
55,80,50,40,1,,,,,,,,,,,,,
56,100,90,80,70,40,30,,,,,,,,,,,
60,70,60,50,30,20,10,,,,,,,,,,,
62,926.1226139,,,,,,,,,,,,,,,,
64,130,120,100,90,80,50,10,,,,,,,,,,
65,100,90,80,70,50,30,60,20,10,1,,,,,,,
68,40,30,,,,,,,,,,,,,,,
71,490.51,,,,,,,,,,,,,,,,
72,230,220,200,190,180,170,160,130,120,100,90,80,70,50,40,20,10
73,210,200,180,170,150,140,110,100,90,80,70,40,10,,,,
75,230,210,200,190,180,170,160,150,140,120,110,100,90,60,40,,
76,100,70,40,50,,,,,,,,,,,,,
77,10,,,,,,,,,,,,,,,,
78,801.12,762.6459774,,,,,,,,,,,,,,,
79,70,50,,,,,,,,,,,,,,,
80,70,60,30,20,10,,,,,,,,,,,,
81,801.12,762.6459774,,,,,,,,,,,,,,,
82,1,4,8,16,,,,,,,,,,,,,
83,80,70,60,20,50,40,30,20,10,,,,,,,,
84,10,,,,,,,,,,,,,,,,
85,40,20,,,,,,,,,,,,,,,
86,60,50,40,30,20,10,,,,,,,,,,,
87,20,10,,,,,,,,,,,,,,,
88,1,2,3,5,6,,,,,,,,,,,,
89,40,30,,,,,,,,,,,,,,,
92,50,10,,,,,,,,,,,,,,,
93,805.3389726,,,,,,,,,,,,,,,,
94,70,40,30,1,,,,,,,,,,,,,
95,140,130,120,110,80,70,60,40,,,,,,,,,
96,80,40,20,,,,,,,,,,,,,,
98,NaN,,,,,,,,,,,,,,,,
100,10,1,,,,,,,,,,,,,,,
101,1,679.0977492,,,,,,,,,,,,,,,
102,1,2,10,12,14,,,,,,,,,,,,
103,10,679.0977492,,,,,,,,,,,,,,,
105,10,1,,,,,,,,,,,,,,,
108,50,40,30,20,,,,,,,,,,,,,
109,10,,,,,,,,,,,,,,,,
110,10,,,,,,,,,,,,,,,,
111,240,140,130,100,60,20,,,,,,,,,,,
112,20,10,,,,,,,,,,,,,,,
